sent1,sent2,logits0,logits1,label
功能型党支部有什么作用,闵浦镇的标准化建设投入了多少资金,4.243415832519531,-3.871448516845703,0
功能型党支部有什么作用,2017年，亿利集团又全面实施什么工程,3.8025944232940674,-3.4913761615753174,0
功能型党支部有什么作用,珍珠小区人居环境建设的成功，使得社区党支部以什么为核心的社区生活共同体雏形初现,-0.3243919312953949,-0.045128822326660156,1
功能型党支部有什么作用,党的工作机关的职责是什么,-0.21231907606124878,0.4333886504173279,1
功能型党支部有什么作用,系统进行用户注册、办理事项申请等操作，应该做好什么,2.7986221313476562,-2.5916144847869873,0
功能型党支部有什么作用,密是什么,2.4829142093658447,-2.077124834060669,0
功能型党支部有什么作用,孙志刚怎样石化盘算,3.7414348125457764,-3.721491813659668,0
功能型党支部有什么作用,根据需要，可以安排有关人员列席会议的安排是,1.460579752922058,-1.265061378479004,0
功能型党支部有什么作用,为什么说蔓枯病会发生艾滋病,3.7654659748077393,-3.387089490890503,0
功能型党支部有什么作用,党校（行政学院）各个班次应当建立学员临时党支部吗,-2.440448522567749,1.9806658029556274,1
功能型党支部有什么作用,这个故事发生的主人翁有什么意思,2.966632127761841,-2.5971906185150146,0
功能型党支部有什么作用,习近平总书记系列重要讲话是什么,2.4826085567474365,-2.4828763008117676,0
功能型党支部有什么作用,什么是安全员,1.5134533643722534,-1.1581727266311646,0
功能型党支部有什么作用,习近平亲切会见的那些人,3.740797996520996,-3.6316964626312256,0
功能型党支部有什么作用,严格党的组织生活制度，民主生活会有什么规定,0.5542457699775696,-0.32845985889434814,0
功能型党支部有什么作用,这个现象每每每次发生会什么,2.506016969680786,-1.9156183004379272,0
功能型党支部有什么作用,大田县在以多少个村官建制村为试点的基础上，建立农村工作住村特派员制度,3.0937929153442383,-2.723214864730835,0
功能型党支部有什么作用,在茶叶的种植大户蔡方儒信心满满的时候，哪个人信得到了真实的原因,3.6577188968658447,-3.6329102516174316,0
功能型党支部有什么作用,2012年，全省89％的社区场所面积面积不足200平方米，绝大多数社区没有固定工作经费，社区工作者报酬平均仅有多少,3.6030032634735107,-3.3180348873138428,0
功能型党支部有什么作用,中央政治局常务委员会会议的召开时间和地点是什么,1.2664189338684082,-1.1633013486862183,0
功能型党支部有什么作用,王怀斌如何评价村组织的,0.9494239091873169,-0.616553544998169,0
功能型党支部有什么作用,一核心三优势和红豆党建工作法有什么联系和区别,-0.07338254898786545,0.1576026827096939,1
功能型党支部有什么作用,刘洪的工作方法唯一4个字是什么,3.3516035079956055,-2.880028247833252,0
功能型党支部有什么作用,马永贞(1972年4月逝世的时间是,3.1634042263031006,-2.8333780765533447,0
功能型党支部有什么作用,韩有翼选举之后，要经谁批准,2.8662173748016357,-2.23573637008667,0
功能型党支部有什么作用,金融监管会有什么作用,0.8053945302963257,-0.6859290599822998,0
功能型党支部有什么作用,有条件的地方可依法探索什么样的体制,3.3942651748657227,-3.032991886138916,0
功能型党支部有什么作用,芝博物馆是怎样的一项机制,3.4843180179595947,-3.119000196456909,0
功能型党支部有什么作用,加强对党的创新理论、党的方针政策的研究解读，组织力量撰写理论文章在哪些媒体发表,3.2873780727386475,-2.8799145221710205,0
功能型党支部有什么作用,要把党员日常教育管理的基础性工作抓紧抓好,1.728329062461853,-1.6108506917953491,0
功能型党支部有什么作用,360网站安全团队有多少骨干党员参与进来,2.277496337890625,-1.9867233037948608,0
功能型党支部有什么作用,这次著名的五老吃火锅故事，体现在什么地方,3.6016242504119873,-3.4961040019989014,0
功能型党支部有什么作用,这一做法脱胎于什么时候,3.6503822803497314,-3.20558762550354,0
功能型党支部有什么作用,信用卡作为基层党组织有什么作用,-2.643231153488159,2.420448064804077,1
功能型党支部有什么作用,权力和监督存在什么关系,2.3804404735565186,-1.7050113677978516,0
功能型党支部有什么作用,挪用救灾款款购买房屋的类型有哪些,3.9234848022460938,-3.629127264022827,0
功能型党支部有什么作用,社区党委是以哪些地方为代表,-0.4905099868774414,0.3754488229751587,1
功能型党支部有什么作用,一根红线相连，什么关系,2.636094808578491,-2.1519358158111572,0
功能型党支部有什么作用,我们学习的目的是什么,2.8633477687835693,-2.517987012863159,0
功能型党支部有什么作用,坡子街的红色地图用什么标注了坡子街街道近百个基层党组织和党群服务中心,2.0939767360687256,-1.94475257396698,0
功能型党支部有什么作用,中华民族千百年来存在的绝对贫困问题何时得到解决,4.5907087326049805,-4.391445159912109,0
功能型党支部有什么作用,联合党支部规范了什么劲头更足了,-3.6188271045684814,3.340731382369995,1
功能型党支部有什么作用,村民主要经济来源于哪些地区,3.8205971717834473,-3.450437307357788,0
功能型党支部有什么作用,书记讲坛的讲难题有什么讲究,1.8650254011154175,-1.6326607465744019,0
功能型党支部有什么作用,赵春容是怎么评价赵山的,3.1906020641326904,-2.9796106815338135,0
功能型党支部有什么作用,新体系的建立要点是什么,2.331191301345825,-1.7537139654159546,0
功能型党支部有什么作用,强化队伍管理有什么作用,-2.7226521968841553,2.5577213764190674,1
功能型党支部有什么作用,四个加强为什么为新时代军民融合深度发展提供了基本遵循,4.648305892944336,-4.268524169921875,0
功能型党支部有什么作用,资格复审需要什么资格复审,3.5202438831329346,-3.072324514389038,0
功能型党支部有什么作用,请简述一下县委的怎样的一个事迹,2.216588020324707,-1.7728403806686401,0
功能型党支部有什么作用,把农村建设成为广大农民的美好家园有什么意义,1.8446403741836548,-1.9451128244400024,0
功能型党支部有什么作用,联合国际党支部目前已成立了多少个网格党支部,-3.706176280975342,3.45017409324646,1
功能型党支部有什么作用,实践反复证明了什么,2.850637674331665,-2.6697795391082764,0
功能型党支部有什么作用,重孝尚贤等中华传统美德有什么作用,0.4888414740562439,-0.27607089281082153,0
功能型党支部有什么作用,中铝大厦四层多功能厅内，发生了什么事情,2.555776834487915,-2.180339813232422,0
功能型党支部有什么作用,东北方元打造了怎样的一个社会基础,3.434800386428833,-3.207831859588623,0
功能型党支部有什么作用,村里还在大榕树下建起什么,3.6594221591949463,-3.3830320835113525,0
功能型党支部有什么作用,党委等院级党组织发挥了怎样的作用,-0.46970289945602417,0.4834769368171692,1
功能型党支部有什么作用,丁一宇拟提名为什么,3.8129160404205322,-3.346247434616089,0
功能型党支部有什么作用,导航会的主题活动是什么,2.6211235523223877,-2.3617441654205322,0
功能型党支部有什么作用,习近平同志强调的是什么观点,3.269603967666626,-3.156261920928955,0
功能型党支部有什么作用,这个书籍包括哪些内容,3.441896677017212,-2.9758517742156982,0
功能型党支部有什么作用,深化办学体制改革试点的范围是什么,3.682321786880493,-3.364415407180786,0
功能型党支部有什么作用,泗阳县为什么准确把脉社区党建在城市发展中的结合点,1.7840808629989624,-1.777741551399231,0
功能型党支部有什么作用,人事争议仲裁委员会具体指导什么,2.772454023361206,-2.3441808223724365,0
功能型党支部有什么作用,优化主渠道功能是什么,1.9267420768737793,-1.3163191080093384,0
功能型党支部有什么作用,引导职业人才进行村里服务带来什么样的社会服务,3.8660144805908203,-3.5337231159210205,0
功能型党支部有什么作用,《习近平总书记系列重要讲话读本（2016年版））是哪一年出版的,2.906193971633911,-2.741034746170044,0
功能型党支部有什么作用,争当出彩先锋》中的教学活动是怎样的,3.354325771331787,-2.7457172870635986,0
功能型党支部有什么作用,区域为什么要开展志愿服务,3.444396495819092,-2.9885246753692627,0
功能型党支部有什么作用,无论任何时候，要牢牢坚持党的领导,2.834404706954956,-2.356610059738159,0
功能型党支部有什么作用,纪检监察机关对如实检举、控告的，应给予什么奖励,3.771045207977295,-3.4051501750946045,0
功能型党支部有什么作用,「建设绿色小镇」有什么意义,2.5522286891937256,-2.5370686054229736,0
功能型党支部有什么作用,军区选拔基督徒支部是怎样带来的新气象的,0.6695440411567688,-0.5284799933433533,0
功能型党支部有什么作用,社工离职后有什么好处,2.8911521434783936,-2.6140756607055664,0
功能型党支部有什么作用,两个一百年奋斗目标，由谁共同托起,3.6782190799713135,-3.3395681381225586,0
功能型党支部有什么作用,在干什么用钱,1.8350502252578735,-1.3705428838729858,0
功能型党支部有什么作用,深入中央纪委的监督指导是什么,2.9859466552734375,-2.347676992416382,0
功能型党支部有什么作用,中国是什么国家，加强和改进高校思想政治工作必须始终坚持社会主义办学方向,3.87404465675354,-3.7281486988067627,0
功能型党支部有什么作用,面对脱贫攻坚繁重任务，麟游县把什么作为最关键的一招,3.586092233657837,-3.372985363006592,0
功能型党支部有什么作用,三是推进什么,1.9375407695770264,-1.8223774433135986,0
功能型党支部有什么作用,云南省实施推进暖气学校日常工作的基本原因是什么,3.393286943435669,-3.1399786472320557,0
功能型党支部有什么作用,赣江区为什么要建立社会关怀基层关怀的机制,3.0742390155792236,-2.6919188499450684,0
功能型党支部有什么作用,罗英华是谁说的,3.1460955142974854,-2.8074452877044678,0
功能型党支部有什么作用,党委办公厅的主要职责是什么,-0.5702514052391052,0.5334275960922241,1
功能型党支部有什么作用,在什么时候回迁居民的收入突破3000万元,4.562406539916992,-4.176387310028076,0
功能型党支部有什么作用,习近平总书记提出了什么论断,2.5369369983673096,-2.4217309951782227,0
功能型党支部有什么作用,王爱文强调当年是怎样的一年,3.5545761585235596,-3.4543912410736084,0
功能型党支部有什么作用,韩正教授授予了什么职务,3.3684840202331543,-3.1353089809417725,0
功能型党支部有什么作用,党的工作机关设立的目的是什么,-0.4638247489929199,0.6353005766868591,1
功能型党支部有什么作用,上级部门为什么注重考核，干得怎么样是一码事,2.5819756984710693,-2.1506154537200928,0
功能型党支部有什么作用,学习贯彻还不同程度地存在什么问题,2.846191167831421,-2.4457685947418213,0
功能型党支部有什么作用,四个伟大，彰显着什么,3.1054999828338623,-2.8004956245422363,0
功能型党支部有什么作用,红卫任何及时传递瑶族村寨屋外污水横流、屋内锅碗瓢盆乱丢的现状得到了极大改善,3.8892908096313477,-3.717078447341919,0
功能型党支部有什么作用,党组其他成员主要由谁担任,-1.2165340185165405,1.1595098972320557,1
功能型党支部有什么作用,民意表达要怎么确定民主表达的真实性和有效性,3.380784273147583,-2.9350597858428955,0
功能型党支部有什么作用,社会团体在中国有什么样的存在,1.7734992504119873,-1.5228115320205688,0
功能型党支部有什么作用,校（院）委会由谁任命,0.9839890003204346,-0.552512526512146,0
功能型党支部有什么作用,学员们都放下架子、沉下身子，到群众中去做什么,2.883228302001953,-2.513359785079956,0
功能型党支部有什么作用,王永志在什么方面作了示范,2.8310587406158447,-2.322880983352661,0
功能型党支部有什么作用,什么是陶蜂实验室,3.6398980617523193,-3.166293144226074,0
功能型党支部有什么作用,党的各级纪律检查机关要加强什么,1.0285696983337402,-0.9322039484977722,0
功能型党支部有什么作用,马克思、恩格斯如何看待意识形态的发展现状,4.173884391784668,-4.073695182800293,0
功能型党支部有什么作用,为什么会发生深刻变化,3.539232015609741,-3.011754274368286,0
功能型党支部有什么作用,整整一周，家里的小吃吃什么,3.0140955448150635,-2.7764432430267334,0
功能型党支部有什么作用,金牛黄金金矿有什么作用,0.7601252794265747,-0.42696839570999146,0
功能型党支部有什么作用,海柏路街道有哪些项目,3.2396762371063232,-2.9321420192718506,0
功能型党支部有什么作用,邓小平同志提出了什么样的道路,3.899258852005005,-3.7027881145477295,0
功能型党支部有什么作用,划转部分国有资本充实社会保障基金的目的是什么,3.1148245334625244,-2.826836585998535,0
功能型党支部有什么作用,德阳路街道的建设项目有哪些,2.8050715923309326,-2.5822336673736572,0
功能型党支部有什么作用,下一步高新区将依托互联网企业第二总部优势成立光谷互联网行业协会的优势是什么,4.406345367431641,-4.113710403442383,0
功能型党支部有什么作用,强军时间表愈益精准，哪个方面会愈益清晰,3.7524092197418213,-3.6695868968963623,0
